<name4> = <val5>	<name4> に <val5> を代入
<name5> . rsplit ( <name4> , <val1> )	最後から <name4> で <name5> を最大分割数 <val1> まで分割してリストを返す
<name5> . rsplit ( <name6> , <val2> )	末尾から <name6> で値 <name5> を最大分割数 <val2> まで分割してリストを返す
<name6> . rsplit ( <name1> , <val2> )	<name6> 値を末尾から <name1> で最大分割数 <val2> まで分割してリストを返す
<name1> . rsplit ( <name5> , <val6> )	終わりから <name5> で値 <name1> を最大分割数 <val6> まで分割してリストを返す
<name5> . rsplit ( <name3> , <val4> )	末尾から <name3> で <name5> 値を最大分割数 <val4> まで分割してリストを返す
<name1> . rsplit ( <name3> , <val6> )	<name1> を末尾から <name3> で最大分割数 <val6> まで分割してリストを返す
<name6> . rsplit ( <name2> , <val3> )	最後から <name2> で <name6> 値を最大分割数 <val3> まで分割してリストを返す
<name4> . rsplit ( <name2> , <val3> )	<name4> 値を後ろから <name2> で最大分割数 <val3> まで分割してリストを返す
<name2> . rsplit ( <name5> , <val1> )	値 <name2> を末尾から <name5> で最大分割数 <val1> まで分割してリストを返す
<name1> . rsplit ( <name4> , <val6> )	<name1> 値を終わりから <name4> で最大分割数 <val6> まで分割してリストを返す
<name5> . rsplit ( <name4> , <val1> )	末尾から <name4> で <name5> を最大分割数 <val1> まで分割してリストを返す
<name3> . rsplit ( <name4> , <val5> )	値 <name3> を後ろから <name4> で最大分割数 <val5> まで分割してリストを返す
<name4> = <name3> . rsplit ( <name5> , <val1> )	<name3> を末尾から <name5> で最大分割数 <val1> まで分割してリストを返し、 <name4> とする
<name4> = <name1> . rsplit ( <name3> , <val5> )	<name1> を末尾から <name3> で最大分割数 <val5> まで分割してリストを返した結果を <name4> にする
<name3> = <name6> . rsplit ( <name5> , <val1> )	値 <name6> を末尾から <name5> で最大分割数 <val1> まで分割してリストを返し、 <name3> とする
<name5> = <name3> . rsplit ( <name4> , <val6> )	値 <name3> を末尾から <name4> で最大分割数 <val6> まで分割してリストを返した結果を <name5> に代入する
<name2> = <name5> . rsplit ( <name1> , <val6> )	最後から <name1> で <name5> 値を最大分割数 <val6> まで分割してリストを返して、 <name2> に代入する
<name3> = <name6> . rsplit ( <name5> , <val1> )	最後から <name5> で <name6> 値を最大分割数 <val1> まで分割してリストを返した結果を <name3> にする
<name6> = <name1> . rsplit ( <name4> , <val2> )	最後から <name4> で <name1> を最大分割数 <val2> まで分割してリストを返し、 <name6> にする
<name4> = <name6> . rsplit ( <name2> , <val1> )	最後から <name2> で <name6> を最大分割数 <val1> まで分割してリストを返した結果を <name4> に代入する
<name6> = <name4> . rsplit ( <name5> , <val1> )	末尾から <name5> で <name4> を最大分割数 <val1> まで分割してリストを返して、 <name6> にする
<name6> = <name5> . rsplit ( <name2> , <val4> )	末尾から <name2> で <name5> を最大分割数 <val4> まで分割してリストを返した結果を <name6> に代入する
<name3> = <name5> . rsplit ( <name6> , <val2> )	<name5> を最後から <name6> で最大分割数 <val2> まで分割してリストを返して、 <name3> とする
<name4> = <name2> . rsplit ( <name6> , <val3> )	<name2> を最後から <name6> で最大分割数 <val3> まで分割してリストを返した結果を <name4> とする
<name4> = <name5> . rsplit ( <name2> , <val1> )	<name5> 値を最後から <name2> で最大分割数 <val1> まで分割してリストを返し、 <name4> とする
<name6> = <name5> . rsplit ( <name3> , <val2> )	<name5> 値を最後から <name3> で最大分割数 <val2> まで分割してリストを返された結果を <name6> に代入する
<name5> = <name2> . rsplit ( <name4> , <val6> )	値 <name2> を最後から <name4> で最大分割数 <val6> まで分割してリストを返して、 <name5> に代入する
<name3> = <name6> . rsplit ( <name2> , <val5> )	値 <name6> を最後から <name2> で最大分割数 <val5> まで分割してリストを返された結果を <name3> に代入する
<name2> = <name5> . rsplit ( <name4> , <val1> )	終わりから <name4> で <name5> 値を最大分割数 <val1> まで分割してリストを返し、 <name2> にする
<name4> = <name6> . rsplit ( <name2> , <val5> )	終わりから <name2> で <name6> 値を最大分割数 <val5> まで分割してリストを返された結果を <name4> とする
<name6> = <name4> . rsplit ( <name1> , <val3> )	最後から <name1> で値 <name4> を最大分割数 <val3> まで分割してリストを返し、 <name6> にする
<name1> = <name2> . rsplit ( <name4> , <val5> )	最後から <name4> で値 <name2> を最大分割数 <val5> まで分割してリストを返した結果を <name1> にする
<name2> = <name3> . rsplit ( <name5> , <val6> )	値 <name3> を後ろから <name5> で最大分割数 <val6> まで分割してリストを返して、 <name2> に代入する
<name5> = <name3> . rsplit ( <name6> , <val4> )	値 <name3> を後ろから <name6> で最大分割数 <val4> まで分割してリストを返した結果を <name5> にする
<name6> = <name2> . rsplit ( <name5> , <val3> )	末尾から <name5> で値 <name2> を最大分割数 <val3> まで分割してリストを返し、 <name6> に代入する
<name4> = <name5> . rsplit ( <name6> , <val2> )	末尾から <name6> で値 <name5> を最大分割数 <val2> まで分割してリストを返された結果を <name4> に代入する
<name6> = <name3> . rsplit ( <name4> , <val1> )	<name3> 値を末尾から <name4> で最大分割数 <val1> まで分割してリストを返し、 <name6> とする
<name3> = <name1> . rsplit ( <name6> , <val4> )	<name1> 値を末尾から <name6> で最大分割数 <val4> まで分割してリストを返した結果を <name3> とする
<name5> = <name4> . rsplit ( <name1> , <val3> )	末尾から <name1> で <name4> 値を最大分割数 <val3> まで分割してリストを返して、 <name5> に代入する
<name3> = <name1> . rsplit ( <name6> , <val5> )	末尾から <name6> で <name1> 値を最大分割数 <val5> まで分割してリストを返した結果を <name3> にする
<name4> = <name2> . rsplit ( <name5> , <val6> )	終わりから <name5> で <name2> を最大分割数 <val6> まで分割してリストを返し、 <name4> にする
<name2> = <name5> . rsplit ( <name4> , <val3> )	終わりから <name4> で <name5> を最大分割数 <val3> まで分割してリストを返した結果を <name2> にする
<name2> = <name1> . rsplit ( <name6> , <val4> )	<name1> 値を終わりから <name6> で最大分割数 <val4> まで分割してリストを返し、 <name2> とする
<name1> = <name2> . rsplit ( <name6> , <val5> )	<name2> 値を終わりから <name6> で最大分割数 <val5> まで分割してリストを返した結果を <name1> にする
<name1> = <name3> . rsplit ( <name4> , <val2> )	後ろから <name4> で値 <name3> を最大分割数 <val2> まで分割してリストを返し、 <name1> に代入する
<name2> = <name4> . rsplit ( <name5> , <val6> )	後ろから <name5> で値 <name4> を最大分割数 <val6> まで分割してリストを返した結果を <name2> にする
<name2> = <name5> . rsplit ( <name1> , <val4> )	<name5> を後ろから <name1> で最大分割数 <val4> まで分割してリストを返して、 <name2> にする
<name2> = <name4> . rsplit ( <name6> , <val1> )	<name4> を後ろから <name6> で最大分割数 <val1> まで分割してリストを返された結果を <name2> にする
<name5> = <name1> . rsplit ( <name6> , <val3> )	終わりから <name6> で値 <name1> を最大分割数 <val3> まで分割してリストを返して、 <name5> にする
<name2> = <name1> . rsplit ( <name6> , <val4> )	終わりから <name6> で値 <name1> を最大分割数 <val4> まで分割してリストを返した結果を <name2> に代入する
<name4> = <name2> . rsplit ( <name3> , <val6> )	<name2> を終わりから <name3> で最大分割数 <val6> まで分割してリストを返して、 <name4> にする
<name4> = <name6> . rsplit ( <name3> , <val2> )	<name6> を終わりから <name3> で最大分割数 <val2> まで分割してリストを返した結果を <name4> にする
<name3> = <name4> . rsplit ( <name2> , <val1> )	値 <name4> を終わりから <name2> で最大分割数 <val1> まで分割してリストを返し、 <name3> にする
<name6> = <name1> . rsplit ( <name4> , <val2> )	値 <name1> を終わりから <name4> で最大分割数 <val2> まで分割してリストを返された結果を <name6> にする
<name2> . rsplit ( <name4> , <val5> )	<name4> を区切り文字、最大分割数を <val5> として <name2> を末尾から分割してリスト型にして返す
<name6> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> に設定して <name6> 値を最後から分割してリストにして返す
<name2> . rsplit ( <name1> , <val5> )	<name1> を区切り文字、最大分割数を <val5> に指定して <name2> 値を最後から分割してリストに直す
<name2> . rsplit ( <name6> , <val3> )	<name6> を区切り文字、最大分割数を <val3> に指定して値 <name2> を最後から分割してリスト型にする
<name5> . rsplit ( <name3> , <val2> )	<name3> を区切り文字、最大分割数を <val2> として <name5> を後ろから分割してリスト型にして返す
<name2> . rsplit ( <name6> , <val4> )	<name6> を区切り文字、最大分割数を <val4> に指定して <name2> を最後から分割してリスト型にする
<name2> . rsplit ( <name1> , <val3> )	<name1> を区切り文字、最大分割数を <val3> として <name2> 値を終わりから分割してリスト型にして返す
<name3> . rsplit ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> として <name3> 値を末尾から分割してリスト型にして返す
<name2> . rsplit ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に設定して <name2> 値を末尾から分割してリストにして返す
<name3> . rsplit ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> に指定して値 <name3> を最後から分割してリストにする
<name5> . rsplit ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に設定して <name5> を最後から分割してリスト型に直す
<name6> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> として値 <name6> を最後から分割してリストにして返す
<name6> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> として値 <name6> を最後から分割してリスト型にして返す
<name4> . rsplit ( <name6> , <val1> )	<name6> を区切り文字、最大分割数を <val1> に指定して <name4> 値を最後から分割してリストにする
<name3> . rsplit ( <name2> , <val5> )	<name2> を区切り文字、最大分割数を <val5> に設定して <name3> を末尾から分割してリストにして返す
<name6> . rsplit ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> に設定して <name6> を最後から分割してリスト型にして返す
<name6> . rsplit ( <name2> , <val4> )	<name2> を区切り文字、最大分割数を <val4> に設定して <name6> を最後から分割してリストにして返す
<name6> . rsplit ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> に設定して <name6> 値を末尾から分割してリスト型にして返す
<name3> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> に設定して <name3> を末尾から分割してリスト型にして返す
<name4> . rsplit ( <name1> , <val5> )	<name1> を区切り文字、最大分割数を <val5> に指定して <name4> 値を最後から分割してリスト型に直す
<name1> . rsplit ( <name3> , <val2> )	<name3> を区切り文字、最大分割数を <val2> として <name1> を最後から分割してリスト型にして返す
<name2> . rsplit ( <name1> , <val3> )	<name1> を区切り文字、最大分割数を <val3> として値 <name2> を末尾から分割してリスト型にして返す
<name2> . rsplit ( <name6> , <val3> )	<name6> を区切り文字、最大分割数を <val3> として <name2> を最後から分割してリストにして返す
<name5> . rsplit ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> に設定して <name5> 値を最後から分割してリスト型にする
<name2> . rsplit ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> に設定して <name2> 値を最後から分割してリスト型にして返す
<name2> . rsplit ( <name6> , <val3> )	<name6> を区切り文字、最大分割数を <val3> として <name2> 値を最後から分割してリストにして返す
<name2> . rsplit ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に指定して <name2> を最後から分割してリストにする
<name5> . rsplit ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> に設定して <name5> を最後から分割してリストにする
<name5> . rsplit ( <name6> , <val4> )	<name6> を区切り文字、最大分割数を <val4> に指定して <name5> 値を最後から分割してリスト型にする
<name2> . rsplit ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> として <name2> 値を最後から分割してリスト型にして返す
<name6> . rsplit ( <name2> , <val5> )	<name2> を区切り文字、最大分割数を <val5> に設定して <name6> 値を最後から分割してリストにする
<name1> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> に指定して値 <name1> を最後から分割してリストに直す
<name4> . rsplit ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に設定して <name4> を最後から分割してリスト型にする
<name2> . rsplit ( <name3> , <val5> )	<name3> を区切り文字、最大分割数を <val5> に指定して値 <name2> を最後から分割してリスト型に直す
<name4> . rsplit ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> として値 <name4> を末尾から分割してリストにして返す
<name5> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> として値 <name5> を後ろから分割してリスト型にして返す
<name1> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> に指定して <name1> を最後から分割してリスト型に直す
<name5> . rsplit ( <name6> , <val4> )	<name6> を区切り文字、最大分割数を <val4> として <name5> を末尾から分割してリストにして返す
<name1> . rsplit ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> に設定して値 <name1> を最後から分割してリスト型にして返す
<name5> . rsplit ( <name2> , <val1> )	<name2> を区切り文字、最大分割数を <val1> に設定して <name5> 値を最後から分割してリストに直す
<name3> . rsplit ( <name4> , <val1> )	<name4> を区切り文字、最大分割数を <val1> に設定して値 <name3> を最後から分割してリストにする
<name5> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> に設定して値 <name5> を最後から分割してリストに直す
<name5> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> に設定して値 <name5> を後ろから分割してリストにして返す
<name1> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> に設定して <name1> を最後から分割してリストに直す
<name3> . rsplit ( <name1> , <val6> )	<name1> を区切り文字、最大分割数を <val6> に設定して <name3> 値を後ろから分割してリストにして返す
<name6> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> に設定して値 <name6> を後ろから分割してリスト型にして返す
<name3> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> として <name3> 値を後ろから分割してリストにして返す
<name1> . rsplit ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> に設定して <name1> 値を終わりから分割してリスト型にして返す
<name2> . rsplit ( <name1> , <val6> )	<name1> を区切り文字、最大分割数を <val6> として値 <name2> を終わりから分割してリストにして返す
<name3> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> に指定して <name3> を最後から分割してリストに直す
<name4> . rsplit ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> に設定して値 <name4> を終わりから分割してリストにして返す
<name1> . rsplit ( <name5> , <val4> )	<name5> を区切り文字、最大分割数を <val4> に設定して値 <name1> を末尾から分割してリストにして返す
<name5> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> として <name5> 値を末尾から分割してリストにして返す
<name5> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> に設定して <name5> 値を最後から分割してリスト型に直す
<name4> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して <name4> を後ろから分割してリストにして返す
<name4> = <name2> . rsplit ( <name6> , <val5> )	<name6> を区切り文字、最大分割数を <val5> として <name2> を最後から分割してリスト型にして返して、 <name4> にする
<name4> = <name3> . rsplit ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> として <name3> を最後から分割してリスト型にして返した結果を <name4> にする
<name1> = <name6> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> として値 <name6> を最後から分割してリストにして返し、 <name1> にする
<name4> = <name6> . rsplit ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> として値 <name6> を最後から分割してリストにして返した結果を <name4> とする
<name4> = <name6> . rsplit ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> として値 <name6> を末尾から分割してリスト型にして返し、 <name4> に代入する
<name2> = <name1> . rsplit ( <name3> , <val5> )	<name3> を区切り文字、最大分割数を <val5> として値 <name1> を末尾から分割してリスト型にして返した結果を <name2> に代入する
<name6> = <name5> . rsplit ( <name4> , <val1> )	<name4> を区切り文字、最大分割数を <val1> に設定して <name5> を最後から分割してリスト型にして返して、 <name6> に代入する
<name6> = <name3> . rsplit ( <name5> , <val4> )	<name5> を区切り文字、最大分割数を <val4> に設定して <name3> を最後から分割してリスト型にして返した結果を <name6> にする
<name1> = <name4> . rsplit ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> として <name4> を末尾から分割してリスト型にして返し、 <name1> に代入する
<name4> = <name1> . rsplit ( <name3> , <val2> )	<name3> を区切り文字、最大分割数を <val2> として <name1> を末尾から分割してリスト型にして返した結果を <name4> にする
<name3> = <name4> . rsplit ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> に設定して <name4> を最後から分割してリスト型にし、 <name3> にする
<name4> = <name6> . rsplit ( <name2> , <val1> )	<name2> を区切り文字、最大分割数を <val1> に設定して <name6> を最後から分割してリスト型にされた結果を <name4> に代入する
<name4> = <name6> . rsplit ( <name3> , <val5> )	<name3> を区切り文字、最大分割数を <val5> に設定して値 <name6> を最後から分割してリスト型にして返して、 <name4> にする
<name5> = <name1> . rsplit ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> に設定して値 <name1> を最後から分割してリスト型にして返した結果を <name5> にする
<name1> = <name5> . rsplit ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> として <name5> 値を末尾から分割してリスト型にして返し、 <name1> とする
<name1> = <name5> . rsplit ( <name3> , <val2> )	<name3> を区切り文字、最大分割数を <val2> として <name5> 値を末尾から分割してリスト型にして返された結果を <name1> とする
<name1> = <name6> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に設定して値 <name6> を末尾から分割してリスト型にして返して、 <name1> にする
<name3> = <name6> . rsplit ( <name2> , <val4> )	<name2> を区切り文字、最大分割数を <val4> に設定して値 <name6> を末尾から分割してリスト型にして返された結果を <name3> に代入する
<name4> = <name1> . rsplit ( <name3> , <val2> )	<name3> を区切り文字、最大分割数を <val2> として <name1> を末尾から分割してリストにして返して、 <name4> に代入する
<name2> = <name6> . rsplit ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> として <name6> を末尾から分割してリストにして返された結果を <name2> にする
<name4> = <name3> . rsplit ( <name6> , <val1> )	<name6> を区切り文字、最大分割数を <val1> として値 <name3> を最後から分割してリスト型にして返して、 <name4> に代入する
<name4> = <name5> . rsplit ( <name2> , <val1> )	<name2> を区切り文字、最大分割数を <val1> として値 <name5> を最後から分割してリスト型にして返された結果を <name4> とする
<name2> = <name6> . rsplit ( <name4> , <val5> )	<name4> を区切り文字、最大分割数を <val5> に指定して <name6> を最後から分割してリストにして、 <name2> に代入する
<name6> = <name2> . rsplit ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> に指定して <name2> を最後から分割してリストにされた結果を <name6> にする
<name1> = <name5> . rsplit ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に設定して <name5> 値を最後から分割してリストにして返し、 <name1> にする
<name2> = <name5> . rsplit ( <name1> , <val6> )	<name1> を区切り文字、最大分割数を <val6> に設定して <name5> 値を最後から分割してリストにして返した結果を <name2> に代入する
<name3> = <name1> . rsplit ( <name5> , <val6> )	<name5> を区切り文字、最大分割数を <val6> として <name1> を後ろから分割してリスト型にして返して、 <name3> にする
<name6> = <name3> . rsplit ( <name1> , <val5> )	<name1> を区切り文字、最大分割数を <val5> として <name3> を後ろから分割してリスト型にして返した結果を <name6> とする
<name2> = <name5> . rsplit ( <name1> , <val6> )	<name1> を区切り文字、最大分割数を <val6> に設定して <name5> を最後から分割してリストにし、 <name2> にする
<name2> = <name5> . rsplit ( <name6> , <val3> )	<name6> を区切り文字、最大分割数を <val3> に設定して <name5> を最後から分割してリストにした結果を <name2> に代入する
<name1> = <name2> . rsplit ( <name4> , <val5> )	<name4> を区切り文字、最大分割数を <val5> に指定して <name2> 値を最後から分割してリストに直し、 <name1> に代入する
<name4> = <name6> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name6> 値を最後から分割してリストに直した結果を <name4> に代入する
<name5> = <name6> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として <name6> 値を末尾から分割してリストにして返して、 <name5> に代入する
<name1> = <name2> . rsplit ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> として <name2> 値を末尾から分割してリストにして返された結果を <name1> に代入する
<name4> = <name5> . rsplit ( <name2> , <val6> )	<name2> を区切り文字、最大分割数を <val6> に設定して値 <name5> を最後から分割してリストにし、 <name4> に代入する
<name6> = <name2> . rsplit ( <name5> , <val4> )	<name5> を区切り文字、最大分割数を <val4> に設定して値 <name2> を最後から分割してリストにした結果を <name6> に代入する
<name5> = <name4> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> として値 <name4> を末尾から分割してリストにして返して、 <name5> に代入する
<name1> = <name2> . rsplit ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> として値 <name2> を末尾から分割してリストにして返した結果を <name1> に代入する
<name2> = <name3> . rsplit ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に指定して値 <name3> を最後から分割してリスト型に直して、 <name2> とする
<name4> = <name6> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> に指定して値 <name6> を最後から分割してリスト型に直した結果を <name4> にする
<name2> = <name1> . rsplit ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して <name1> を最後から分割してリストに直して、 <name2> にする
<name3> = <name1> . rsplit ( <name2> , <val5> )	<name2> を区切り文字、最大分割数を <val5> に指定して <name1> を最後から分割してリストに直された結果を <name3> に代入する
<name1> = <name4> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> に設定して値 <name4> を末尾から分割してリストにして返して、 <name1> にする
<name3> = <name6> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> に設定して値 <name6> を末尾から分割してリストにして返した結果を <name3> とする
<name3> = <name6> . rsplit ( <name4> , <val2> )	<name4> を区切り文字、最大分割数を <val2> に設定して <name6> 値を末尾から分割してリストにして返し、 <name3> とする
<name3> = <name1> . rsplit ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に設定して <name1> 値を末尾から分割してリストにして返した結果を <name3> とする
<name2> = <name4> . rsplit ( <name6> , <val5> )	<name6> を区切り文字、最大分割数を <val5> として <name4> 値を最後から分割してリストにして返し、 <name2> にする
<name6> = <name3> . rsplit ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> として <name3> 値を最後から分割してリストにして返された結果を <name6> に代入する
<name4> = <name5> . rsplit ( <name1> , <val3> )	<name1> を区切り文字、最大分割数を <val3> に設定して <name5> 値を最後から分割してリスト型にし、 <name4> にする
<name6> = <name4> . rsplit ( <name1> , <val5> )	<name1> を区切り文字、最大分割数を <val5> に設定して <name4> 値を最後から分割してリスト型にした結果を <name6> とする
<name3> = <name4> . rsplit ( <name1> , <val6> )	<name1> を区切り文字、最大分割数を <val6> に設定して値 <name4> を最後から分割してリスト型に直して、 <name3> に代入する
<name1> = <name3> . rsplit ( <name6> , <val5> )	<name6> を区切り文字、最大分割数を <val5> に設定して値 <name3> を最後から分割してリスト型に直した結果を <name1> にする
<name6> = <name1> . rsplit ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> に設定して <name1> 値を最後から分割してリストに直して、 <name6> とする
<name4> = <name3> . rsplit ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> に設定して <name3> 値を最後から分割してリストに直した結果を <name4> に代入する
<name5> = <name2> . rsplit ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> として <name2> 値を最後から分割してリスト型にして返して、 <name5> に代入する
<name6> = <name4> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> として <name4> 値を最後から分割してリスト型にして返した結果を <name6> に代入する
<name4> = <name2> . rsplit ( <name5> , <val3> )	<name5> を区切り文字、最大分割数を <val3> に指定して <name2> 値を最後から分割してリスト型にして、 <name4> に代入する
<name1> = <name4> . rsplit ( <name2> , <val3> )	<name2> を区切り文字、最大分割数を <val3> に指定して <name4> 値を最後から分割してリスト型にした結果を <name1> とする
<name5> = <name4> . rsplit ( <name6> , <val1> )	<name6> を区切り文字、最大分割数を <val1> に設定して <name4> 値を最後から分割してリストにし、 <name5> にする
<name3> = <name5> . rsplit ( <name1> , <val2> )	<name1> を区切り文字、最大分割数を <val2> に設定して <name5> 値を最後から分割してリストにされた結果を <name3> とする
<name6> = <name2> . rsplit ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> として <name2> 値を終わりから分割してリスト型にして返し、 <name6> とする
<name5> = <name4> . rsplit ( <name6> , <val2> )	<name6> を区切り文字、最大分割数を <val2> として <name4> 値を終わりから分割してリスト型にして返した結果を <name5> に代入する
<name5> = <name1> . rsplit ( <name4> , <val6> )	<name4> を区切り文字、最大分割数を <val6> に指定して <name1> を最後から分割してリスト型にし、 <name5> にする
<name2> = <name5> . rsplit ( <name1> , <val3> )	<name1> を区切り文字、最大分割数を <val3> に指定して <name5> を最後から分割してリスト型にされた結果を <name2> にする
<name6> = <name5> . rsplit ( <name3> , <val2> )	<name3> を区切り文字、最大分割数を <val2> に設定して値 <name5> を最後から分割してリストにして返して、 <name6> とする
<name5> = <name6> . rsplit ( <name4> , <val3> )	<name4> を区切り文字、最大分割数を <val3> に設定して値 <name6> を最後から分割してリストにして返された結果を <name5> にする
<name3> = <name6> . rsplit ( <name4> , <val2> )	<name4> を区切り文字、最大分割数を <val2> に設定して <name6> を最後から分割してリスト型に直し、 <name3> に代入する
<name1> = <name6> . rsplit ( <name3> , <val5> )	<name3> を区切り文字、最大分割数を <val5> に設定して <name6> を最後から分割してリスト型に直した結果を <name1> とする
<name6> = <name4> . rsplit ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> に指定して値 <name4> を最後から分割してリストにし、 <name6> に代入する
<name6> = <name2> . rsplit ( <name5> , <val1> )	<name5> を区切り文字、最大分割数を <val1> に指定して値 <name2> を最後から分割してリストにした結果を <name6> とする
<name1> = <name2> . rsplit ( <name3> , <val4> )	<name3> を区切り文字、最大分割数を <val4> に指定して値 <name2> を最後から分割してリストに直し、 <name1> とする
<name3> = <name2> . rsplit ( <name1> , <val5> )	<name1> を区切り文字、最大分割数を <val5> に指定して値 <name2> を最後から分割してリストに直した結果を <name3> とする
<name3> = <name2> . rsplit ( <name5> , <val4> )	<name5> を区切り文字、最大分割数を <val4> に設定して <name2> 値を最後から分割してリスト型にして返して、 <name3> とする
<name1> = <name3> . rsplit ( <name2> , <val4> )	<name2> を区切り文字、最大分割数を <val4> に設定して <name3> 値を最後から分割してリスト型にして返された結果を <name1> に代入する
<name4> = <name1> . rsplit ( <name6> , <val5> )	<name6> を区切り文字、最大分割数を <val5> に指定して値 <name1> を最後から分割してリスト型にして、 <name4> にする
<name2> = <name3> . rsplit ( <name5> , <val6> )	<name5> を区切り文字、最大分割数を <val6> に指定して値 <name3> を最後から分割してリスト型にした結果を <name2> とする
<name5> = <name2> . rsplit ( <name3> , <val1> )	<name3> を区切り文字、最大分割数を <val1> に指定して <name2> 値を最後から分割してリストにして、 <name5> にする
<name3> = <name2> . rsplit ( <name5> , <val4> )	<name5> を区切り文字、最大分割数を <val4> に指定して <name2> 値を最後から分割してリストにした結果を <name3> とする
<name1> = <name4> . rsplit ( <name5> , <val6> )	<name5> を区切り文字、最大分割数を <val6> として <name4> を最後から分割してリストにして返し、 <name1> に代入する
<name5> = <name6> . rsplit ( <name1> , <val4> )	<name1> を区切り文字、最大分割数を <val4> として <name6> を最後から分割してリストにして返した結果を <name5> に代入する
<name6> = <name1> . rsplit ( <name5> , <val2> )	<name5> を区切り文字、最大分割数を <val2> に設定して <name1> 値を最後から分割してリスト型に直し、 <name6> にする
<name5> = <name1> . rsplit ( <name3> , <val6> )	<name3> を区切り文字、最大分割数を <val6> に設定して <name1> 値を最後から分割してリスト型に直した結果を <name5> とする
