print ( <val3> )	<val3> とプリントする
pd . to_datetime ( <name6> [ <val3> ] , format = '%Y-%m-%d' )	フォーマットを <name6> 表の <val3> コラムを datetime 型にする
pd . to_datetime ( <name4> [ <val3> ] , format = '%Y-%m-%d' )	datetime 型に <name4> 表の <val3> コラムをフォーマットをする
<name4> [ <val2> ] . dt . year	<name4> の <val2> の年
<name4> [ <val5> ] . dt . year	<name4> 表の <val5> コラムの年
<name5> [ <val4> ] . dt . year	表 <name5> のコラム <val4> の年
<name5> [ <val3> ] . dt . year	<name5> の <val3> の年を確認する
<name5> [ <val2> ] . dt . year	表 <name5> のコラム <val2> の年を調べる
<name5> [ <val4> ] . dt . year	<name5> 表の <val4> コラムの年を調べる
<name6> = <name4> [ <val5> ] . dt . year	<name4> の <val5> の年を <name6> に代入する
<name2> = <name4> [ <val3> ] . dt . year	表 <name4> のコラム <val3> の年を <name2> とする
<name1> = <name5> [ <val2> ] . dt . year	<name5> 表の <val2> コラムの年を <name1> にする
<name2> [ <val3> ] . dt . month	<name2> の <val3> の月
<name6> [ <val2> ] . dt . month	<name6> 表の <val2> コラムの月
<name6> [ <val5> ] . dt . month	表 <name6> のコラム <val5> の月
<name2> [ <val4> ] . dt . month	<name2> の <val4> の月を表示する
<name6> [ <val2> ] . dt . month	<name6> 表の <val2> コラムの月を表示する
<name6> [ <val4> ] . dt . month	表 <name6> のコラム <val4> の月を表示する
<name3> = <name4> [ <val6> ] . dt . month	<name4> の <val6> の月を <name3> に代入する
<name1> = <name5> [ <val6> ] . dt . month	表 <name5> のコラム <val6> の月を <name1> に代入する
<name5> = <name4> [ <val1> ] . dt . month	<name4> 表の <val1> コラムの月を <name5> にする
<name2> [ <val3> ] . dt . day	<name2> の <val3> の日にち
<name3> [ <val6> ] . dt . day	表 <name3> のコラム <val6> の日にち
<name5> [ <val2> ] . dt . day	<name5> 表の <val2> コラムの日にち
<name1> [ <val5> ] . dt . day	<name1> の <val5> の日にちを確認する
<name3> [ <val1> ] . dt . day	表 <name3> のコラム <val1> の日にちを表示する
<name3> [ <val5> ] . dt . day	<name3> 表の <val5> コラムの日にちを見る
<name3> = <name5> [ <val6> ] . dt . day	<name5> の <val6> の日にちを <name3> にする
<name2> = <name6> [ <val4> ] . dt . day	<name6> 表の <val4> コラムの日にちを <name2> とする
<name5> = <name1> [ <val4> ] . dt . day	表 <name1> のコラム <val4> の日にちを <name5> とする
<name1> [ <val2> ] . dt . hour	<name1> の <val2> の時間
<name5> [ <val6> ] . dt . hour	表 <name5> のコラム <val6> の時間
<name4> [ <val6> ] . dt . hour	<name4> 表の <val6> コラムの時間
<name4> [ <val6> ] . dt . hour	<name4> の <val6> の時間を確認する
<name1> [ <val4> ] . dt . hour	表 <name1> のコラム <val4> の時間を表示する
<name1> [ <val6> ] . dt . hour	<name1> 表の <val6> コラムの時間を表示する
<name2> = <name3> [ <val6> ] . dt . hour	<name3> の <val6> の時間を <name2> とする
<name1> = <name5> [ <val3> ] . dt . hour	<name5> 表の <val3> コラムの時間を <name1> にする
<name5> = <name4> [ <val6> ] . dt . hour	表 <name4> のコラム <val6> の時間を <name5> に代入する
<name1> [ <val3> ] . dt . minute	<name1> の <val3> の分
<name5> [ <val6> ] . dt . minute	<name5> 表の <val6> コラムの分
<name4> [ <val6> ] . dt . minute	表 <name4> のコラム <val6> の分
<name4> [ <val6> ] . dt . minute	<name4> の <val6> の分を表示する
<name4> [ <val2> ] . dt . minute	表 <name4> のコラム <val2> の分を表示する
<name1> [ <val4> ] . dt . minute	<name1> 表の <val4> コラムの分を調べる
<name5> = <name4> [ <val2> ] . dt . minute	<name4> の <val2> の分を <name5> に代入する
<name6> = <name1> [ <val3> ] . dt . minute	<name1> 表の <val3> コラムの分を <name6> とする
<name3> = <name6> [ <val5> ] . dt . minute	表 <name6> のコラム <val5> の分を <name3> にする
<name5> [ <val1> ] . dt . second	<name5> の <val1> の秒
<name6> [ <val4> ] . dt . second	<name6> 表の <val4> コラムの秒
<name6> [ <val5> ] . dt . second	表 <name6> のコラム <val5> の秒
<name6> [ <val1> ] . dt . second	<name6> の <val1> の秒を確認する
<name3> [ <val2> ] . dt . second	表 <name3> のコラム <val2> の秒を見る
<name1> [ <val3> ] . dt . second	<name1> 表の <val3> コラムの秒を確認する
<name2> = <name1> [ <val6> ] . dt . second	<name1> の <val6> の秒を <name2> にする
<name6> = <name5> [ <val2> ] . dt . second	表 <name5> のコラム <val2> の秒を <name6> とする
<name6> = <name3> [ <val2> ] . dt . second	<name3> 表の <val2> コラムの秒を <name6> に代入する
<name6> [ <val2> ] . dt . weekday_name	<name6> の <val2> の曜日
<name4> [ <val1> ] . dt . weekday_name	<name4> 表の <val1> コラムの曜日
<name6> [ <val4> ] . dt . weekday_name	表 <name6> のコラム <val4> の曜日
<name5> [ <val6> ] . dt . weekday_name	<name5> の <val6> の曜日を調べる
<name3> [ <val2> ] . dt . weekday_name	<name3> 表の <val2> コラムの曜日を調べる
<name1> = <name6> [ <val4> ] . dt . weekday_name	<name6> の <val4> の曜日を <name1> にする
<name3> = <name6> [ <val1> ] . dt . weekday_name	表 <name6> のコラム <val1> の曜日を <name3> にする
<name5> = <name4> [ <val6> ] . dt . weekday_name	<name4> 表の <val6> コラムの曜日を <name5> に代入する
<name6> [ <val3> ] . dt . dayofweek	<name6> の <val3> の曜日の数値型
<name4> [ <val3> ] . dt . dayofweek	表 <name4> のコラム <val3> の曜日の数値型
<name2> [ <val3> ] . dt . dayofweek	<name2> 表の <val3> コラムの曜日の数値型
<name3> [ <val4> ] . dt . dayofweek	<name3> の <val4> の曜日の数値型を見る
<name3> [ <val5> ] . dt . dayofweek	表 <name3> のコラム <val5> の曜日の数値型を見る
<name2> [ <val5> ] . dt . dayofweek	<name2> 表の <val5> コラムの曜日の数値型を調べる
<name3> = <name4> [ <val6> ] . dt . dayofweek	<name4> の <val6> の曜日の数値型を <name3> に代入する
<name4> = <name3> [ <val2> ] . dt . dayofweek	<name3> 表の <val2> コラムの曜日の数値型を <name4> にする
<name3> = <name1> [ <val2> ] . dt . dayofweek	表 <name1> のコラム <val2> の曜日の数値型を <name3> とする
<name4> [ <val2> ] . diff ( periods = 1 )	<name4> の <val2> 内の前後の行の差分
<name6> [ <val5> ] . diff ( periods = 1 )	表 <name6> のコラム <val5> 中の前後の行の差分
<name2> [ <val5> ] . diff ( periods = 1 )	<name2> 表の <val5> コラム内の前後の行の差分
<name3> = <name1> [ <val5> ] . diff ( periods = 1 )	<name1> の <val5> 内の前後の行の差分を <name3> にする
<name2> = <name3> [ <val5> ] . diff ( periods = 1 )	<name3> 表の <val5> コラムの中の前後の行の差分を <name2> とする
<name1> = <name3> [ <val5> ] . diff ( periods = 1 )	<name3> の <val5> 中の前後の行の差分を <name1> に代入する
<name5> [ <val4> ] . diff ( periods = 1 )	<name5> の <val4> 内の前後の行の差分を算出する
<name4> [ <val2> ] . diff ( periods = 1 )	表 <name4> のコラム <val2> 中の前後の行の差分を求める
<name5> [ <val6> ] . diff ( periods = 1 )	<name5> の <val6> 中の前後の行の差分を計算する
<name4> . corr ( )	<name4> の相関係数
<name1> . corr ( )	<name1> 表の相関
<name3> . corr ( )	<name3> 表の相関係数
<name6> . corr ( )	<name6> の相関を表示する
<name1> . corr ( )	<name1> の相関係数を確認する
<name3> . corr ( )	<name3> 表の相関を調べる
. corr ( )	の相関
<name4> [ [ <val1> , <val5> ] ] . corr ( )	<name4> の <val1> と <val5> の相関係数
<name4> [ [ <val5> , <val3> ] ] . corr ( )	<name4> 表の <val5> カラムと <val3> 列の相関係数
<name2> [ [ <val1> , <val6> ] ] . corr ( )	表 <name2> のカラム <val1> と列 <val6> の相関係数
<name4> [ [ <val3> , <val5> ] ] . corr ( )	<name4> の <val3> と <val5> の相関係数を確認する
<name5> [ [ <val2> , <val4> ] ] . corr ( )	<name5> 表の <val2> カラムと <val4> 列の相関係数を表示する
<name5> [ [ <val3> , <val2> ] ] . corr ( )	<name5> の <val3> と <val2> の相関を見る
<name2> . T	<name2> の行列を入れ替える
<name6> . T	<name6> の行と列を入れ替える
<name2> . T	表 <name2> の行列を入れ替える
<name1> . T	<name1> を転置する
<name4> . T	表 <name4> を転置する
<name1> . T	<name1> 表を転置する
<name6> [ <name6> [ <val2> ] == <val4> ]	<name6> の <val2> が <val4> のデータ
<name5> [ <name5> [ <val1> ] == <val4> ]	表 <name5> のカラム <val1> が <val4> のデータ
<name3> [ <name3> [ <val6> ] == <val1> ]	<name3> 表の <val6> カラムが <val1> のデータ
<name6> [ <name6> [ <val3> ] == <val1> ]	<name6> の <val3> が <val1> のデータを得る
<name2> [ <name2> [ <val1> ] == <val4> ]	<name2> 表の <val1> カラムが <val4> のデータをえる
<name4> [ <name4> [ <val5> ] == <val3> ]	表 <name4> のカラム <val5> が <val3> のデータをえる
<name4> [ <name4> [ <val2> ] >  <val6> ]	<name4> の <val2> が <val6> より大きいデータ
<name6> [ <name6> [ <val1> ] >  <val3> ]	<val3> より <name6> の <val1> が大きいデータ
<name2> [ <name2> [ <val4> ] >  <val3> ]	<val3> より <name2> の <val4> が多いデータ
<name3> [ <name3> [ <val4> ] >  <val6> ]	<name3> の <val4> が <val6> より大きいデータを得る
<name5> [ <name5> [ <val1> ] >  <val6> ]	<val6> より表 <name5> の <val1> が多いデータを抽出する
<name1> [ <name1> [ <val6> ] >  <val3> ]	<name1> 表の <val6> が <val3> より多いデータを取得する
<name5> [ <name5> [ <val3> ] >= <val4> ]	<name5> の <val3> が <val4> 以上のデータ
<name5> [ <name5> [ <val4> ] >= <val3> ]	表 <name5> の <val4> が <val3> 以上のデータ
<name5> [ <name5> [ <val4> ] >= <val1> ]	<name5> 表の <val4> が <val1> 以上のデータ
<name3> [ <name3> [ <val6> ] >= <val4> ]	<name3> の <val6> が <val4> 以上のデータを得る
<name6> [ <name6> [ <val5> ] >= <val2> ]	表 <name6> の <val5> が <val2> 以上のデータを得る
<name6> [ <name6> [ <val4> ] >= <val1> ]	<name6> 表の <val4> が <val1> 以上のデータを取得する
<name4> [ <name4> [ <val6> ] <  <val1> ]	<name4> の <val6> が <val1> より小さいデータ
<name6> [ <name6> [ <val3> ] <  <val1> ]	表 <name6> の <val3> が <val1> より小さいデータ
<name3> [ <name3> [ <val2> ] <  <val5> ]	<val5> より表 <name3> の <val2> が小さいデータ
<name2> [ <name2> [ <val6> ] <  <val5> ]	<name2> の <val6> が <val5> より小さいデータを取得する
<name4> [ <name4> [ <val2> ] <  <val3> ]	表 <name4> の <val2> が <val3> より小さいデータを取得する
<name4> [ <name4> [ <val6> ] <  <val1> ]	<name4> の <val6> が <val1> より少ないデータを得る
<name1> [ <name1> [ <val3> ] <= <val2> ]	<name1> の <val3> が <val2> 以下のデータ
<name5> [ <name5> [ <val3> ] <= <val6> ]	<name5> 表の <val3> が <val6> 以下のデータ
<name3> [ <name3> [ <val6> ] <= <val5> ]	表 <name3> の <val6> が <val5> 以下のデータ
<name3> [ <name3> [ <val6> ] <= <val2> ]	<name3> の <val6> が <val2> 以下のデータを抽出する
<name2> [ <name2> [ <val1> ] <= <val4> ]	<name2> 表の <val1> が <val4> 以下のデータをえる
<name5> [ <name5> [ <val4> ] <= <val6> ]	表 <name5> の <val4> が <val6> 以下のデータを取得する
<name2> [ <name2> [ <val6> ] . isin ( [ <val3> , <val5> ] ) ]	<name2> の <val6> が <val3> もしくは <val5> のデータ
<name6> [ <name6> [ <val2> ] . isin ( [ <val1> , <val5> ] ) ]	<name6> 表の <val2> カラムが <val1> か <val5> のデータ
<name6> [ <name6> [ <val4> ] . isin ( [ <val2> , <val1> ] ) ]	<name6> の <val4> が <val2> または <val1> のデータ
<name5> [ <name5> [ <val3> ] . isin ( [ <val1> , <val4> ] ) ]	<name5> の <val3> が <val1> もしくは <val4> のデータを得る
<name4> [ <name4> [ <val6> ] . isin ( [ <val2> , <val5> ] ) ]	<name4> の <val6> が <val2> か <val5> のデータをえる
<name1> [ <name1> [ <val6> ] . isin ( [ <val5> , <val4> ] ) ]	表 <name1> のカラム <val6> が <val5> か <val4> のデータを取得する
<name6> . drop ( <val2> )	<name6> の <val2> 行目を取り除く
<name3> . drop ( <val1> )	<name3> の <val1> 行目を落とす
<name1> . drop ( <val6> )	<name1> の <val6> 行目を消す
<name4> = <name1> . drop ( <val5> )	<name1> の <val5> 行目を消して、 <name4> にする
<name3> = <name2> . drop ( <val5> )	<name2> の <val5> 行目を消された結果を <name3> に代入する
<name6> = <name3> . drop ( <val4> )	表 <name3> の <val4> 行目を消し、 <name6> に代入する
<name4> = <name6> . drop ( <val5> )	表 <name6> の <val5> 行目を消された結果を <name4> に代入する
<name6> = <name4> . drop ( <val5> )	<name4> の <val5> 行目を落とし、 <name6> に代入する
<name1> = <name2> . drop ( <val4> )	<name2> の <val4> 行目を落とした結果を <name1> に代入する
<name2> = <name2> . drop ( <val3> )	<name2> の <val3> 行目を取り除いて、 <name2> にする
<name5> = <name5> . drop ( <val2> )	<name5> の <val2> 行目を取り除いて、置き換える
<name2> = <name2> . drop ( <val3> )	<name2> の <val3> 行目を取り除かれた結果を <name2> に代入する
<name3> = <name3> . drop ( <val1> )	<name3> の <val1> 行目を取り除かれた結果を再代入する
<name1> = <name1> . drop ( <val5> )	表 <name1> の <val5> 行目を取り除いて、 <name1> に代入する
<name2> = <name2> . drop ( <val6> )	表 <name2> の <val6> 行目を取り除いて、再代入する
<name2> = <name2> . drop ( <val6> )	表 <name2> の <val6> 行目を取り除かれた結果を <name2> に代入する
<name1> = <name1> . drop ( <val6> )	表 <name1> の <val6> 行目を取り除かれた結果を再代入する
<name6> = <name6> . drop ( <val4> )	表 <name6> の <val4> 行目を落とし、 <name6> にする
<name4> = <name4> . drop ( <val1> )	表 <name4> の <val1> 行目を落とし、置き換える
<name3> = <name3> . drop ( <val2> )	表 <name3> の <val2> 行目を落とした結果を <name3> とする
<name6> = <name6> . drop ( <val1> )	表 <name6> の <val1> 行目を落とした結果で置き換える
<name3> . drop ( <val1> , inplace = True )	<name3> の <val1> 行目をドロップし、書き換える
<name6> . drop ( <val1> , inplace = True )	<name6> の <val1> 行目をドロップした結果で置き換える
<name4> . drop ( <val3> , inplace = True )	表 <name4> の <val3> 行目を落とし、インプレースする
<name5> . drop ( <val6> , inplace = True )	表 <name5> の <val6> 行目を落とされた結果で置き換える
<name2> . drop ( <val1> , inplace = True )	<name2> 表の <val1> 行目を取り除き、置き換える
<name6> . drop ( <val3> , inplace = True )	<name6> 表の <val3> 行目を取り除いた結果でインプレースする
<name6> . drop ( <val1> , axis = 1 )	<name6> の <val1> をドロップする
<name6> . drop ( <val4> , axis = 1 )	表 <name6> のコラム <val4> をドロップする
<name5> . drop ( <val3> , axis = 1 )	表 <name5> のコラム <val3> を削除する
<name4> = <name6> . drop ( <val5> , axis = 1 )	<name6> の <val5> をドロップし、 <name4> とする
<name6> = <name5> . drop ( <val3> , axis = 1 )	<name5> の <val3> をドロップした結果を <name6> とする
<name1> = <name5> . drop ( <val6> , axis = 1 )	表 <name5> のコラム <val6> を消して、 <name1> に代入する
<name3> = <name5> . drop ( <val4> , axis = 1 )	表 <name5> のコラム <val4> を消された結果を <name3> にする
<name6> = <name1> . drop ( <val2> , axis = 1 )	表 <name1> のコラム <val2> を落とし、 <name6> とする
<name1> = <name6> . drop ( <val4> , axis = 1 )	表 <name6> のコラム <val4> を落とした結果を <name1> にする
<name3> = <name3> . drop ( <val5> , axis = 1 )	<name3> の <val5> をドロップして、 <name3> とする
<name4> = <name4> . drop ( <val3> , axis = 1 )	<name4> の <val3> をドロップして、置き換える
<name3> = <name3> . drop ( <val2> , axis = 1 )	<name3> の <val2> をドロップした結果を <name3> に代入する
<name2> = <name2> . drop ( <val4> , axis = 1 )	<name2> の <val4> をドロップした結果で置き換える
<name6> = <name6> . drop ( <val2> , axis = 1 )	<name6> 表の <val2> コラムを取り除いて、 <name6> とする
<name5> = <name5> . drop ( <val6> , axis = 1 )	<name5> 表の <val6> コラムを取り除いて、再代入する
<name4> = <name4> . drop ( <val6> , axis = 1 )	<name4> 表の <val6> コラムを取り除かれた結果を <name4> にする
<name6> = <name6> . drop ( <val3> , axis = 1 )	<name6> 表の <val3> コラムを取り除かれた結果を再代入する
<name3> = <name3> . drop ( <val6> , axis = 1 )	<name3> の <val6> を落として、 <name3> にする
<name6> = <name6> . drop ( <val2> , axis = 1 )	<name6> の <val2> を落として、置き換える
<name5> = <name5> . drop ( <val4> , axis = 1 )	<name5> の <val4> を落とした結果を <name5> とする
<name6> = <name6> . drop ( <val2> , axis = 1 )	<name6> の <val2> を落とした結果を再代入する
<name6> . drop ( <val2> , axis = 1 , inplace = True )	<name6> の <val2> をドロップし、書き換える
<name1> . drop ( <val3> , axis = 1 , inplace = True )	<name1> の <val3> をドロップされた結果で置き換える
<name4> . drop ( <val5> , axis = 1 , inplace = True )	<name4> 表の <val5> コラムを取り除き、インプレースする
<name1> . drop ( <val5> , axis = 1 , inplace = True )	<name1> 表の <val5> コラムを取り除いた結果でインプレースする
<name3> . drop ( <val6> , axis = 1 , inplace = True )	表 <name3> のコラム <val6> を取り除いて、インプレースする
<name3> . drop ( <val2> , axis = 1 , inplace = True )	表 <name3> のコラム <val2> を取り除かれた結果で書き換える
<name1> . drop ( [ <val5> , <val6> ] , axis = 1 )	<name1> の <val5> と <val6> をドロップする
<name1> . drop ( [ <val4> , <val6> ] , axis = 1 )	<name1> 表の <val4> コラムと <val6> を取り除く
<name4> . drop ( [ <val5> , <val1> ] , axis = 1 )	<name4> の <val5> と <val1> を取り除く
<name5> = <name2> . drop ( [ <val6> , <val3> ] , axis = 1 )	<name2> の <val6> と <val3> をドロップし、 <name5> に代入する
<name1> = <name6> . drop ( [ <val3> , <val5> ] , axis = 1 )	<name6> の <val3> と <val5> をドロップされた結果を <name1> とする
<name6> = <name4> . drop ( [ <val2> , <val5> ] , axis = 1 )	<name4> の <val2> と <val5> を削除し、 <name6> にする
<name2> = <name3> . drop ( [ <val6> , <val4> ] , axis = 1 )	<name3> の <val6> と <val4> を削除した結果を <name2> に代入する
<name6> = <name3> . drop ( [ <val1> , <val4> ] , axis = 1 )	表 <name3> のコラム <val1> と <val4> を消して、 <name6> にする
<name1> = <name2> . drop ( [ <val5> , <val3> ] , axis = 1 )	表 <name2> のコラム <val5> と <val3> を消された結果を <name1> に代入する
<name2> = <name2> . drop ( [ <val5> , <val3> ] , axis = 1 )	<name2> の <val5> と <val3> をドロップし、 <name2> にする
<name1> = <name1> . drop ( [ <val2> , <val5> ] , axis = 1 )	<name1> の <val2> と <val5> をドロップし、置き換える
<name5> = <name5> . drop ( [ <val4> , <val3> ] , axis = 1 )	<name5> の <val4> と <val3> をドロップした結果を <name5> に代入する
<name2> = <name2> . drop ( [ <val3> , <val4> ] , axis = 1 )	<name2> の <val3> と <val4> をドロップした結果で置き換える
<name2> = <name2> . drop ( [ <val4> , <val6> ] , axis = 1 )	表 <name2> のコラム <val4> と <val6> を落として、 <name2> に代入する
<name2> = <name2> . drop ( [ <val5> , <val1> ] , axis = 1 )	表 <name2> のコラム <val5> と <val1> を落として、置き換える
<name2> = <name2> . drop ( [ <val1> , <val5> ] , axis = 1 )	表 <name2> のコラム <val1> と <val5> を落とされた結果を <name2> にする
<name2> = <name2> . drop ( [ <val3> , <val6> ] , axis = 1 )	表 <name2> のコラム <val3> と <val6> を落とされた結果を再代入する
<name2> = <name2> . drop ( [ <val3> , <val4> ] , axis = 1 )	表 <name2> のコラム <val3> と <val4> を消し、 <name2> にする
<name5> = <name5> . drop ( [ <val6> , <val4> ] , axis = 1 )	表 <name5> のコラム <val6> と <val4> を消し、置き換える
<name6> = <name6> . drop ( [ <val3> , <val4> ] , axis = 1 )	表 <name6> のコラム <val3> と <val4> を消した結果を <name6> に代入する
<name2> = <name2> . drop ( [ <val6> , <val3> ] , axis = 1 )	表 <name2> のコラム <val6> と <val3> を消した結果で置き換える
<name3> . drop ( [ <val6> , <val2> ] , axis = 1 , inplace = True )	<name3> の <val6> と <val2> をドロップし、置き換える
<name5> . drop ( [ <val1> , <val3> ] , axis = 1 , inplace = True )	<name5> の <val1> と <val3> をドロップした結果で置き換える
<name1> . drop ( [ <val4> , <val3> ] , axis = 1 , inplace = True )	<name1> の <val4> と <val3> を消して、置き換える
<name4> . drop ( [ <val5> , <val3> ] , axis = 1 , inplace = True )	<name4> の <val5> と <val3> を消された結果で置き換える
<name3> . drop ( [ <val5> , <val6> ] , axis = 1 , inplace = True )	表 <name3> のコラム <val5> と <val6> をドロップし、置き換える
<name4> . drop ( [ <val6> , <val5> ] , axis = 1 , inplace = True )	表 <name4> のコラム <val6> と <val5> をドロップした結果でインプレースする
<name5> . dropna ( )	<name5> 内の未入力の値がある行をドロップする
<name5> . dropna ( )	<name5> 表内の未記入の値がある行をドロップする
<name4> . dropna ( )	ある行を <name4> 表の中の未記入の値が落とす
<name4> = <name6> . dropna ( )	<name6> 内の欠損値が存在する行をドロップし、 <name4> に代入する
<name2> = <name3> . dropna ( )	<name3> 内の欠損値が存在する行をドロップした結果を <name2> に代入する
<name6> = <name5> . dropna ( )	表 <name5> 内の NaN がある行をドロップし、 <name6> に代入する
<name4> = <name6> . dropna ( )	表 <name6> 内の NaN がある行をドロップした結果を <name4> とする
<name2> = <name4> . dropna ( )	表 <name4> の中の NaN がある行を取り除き、 <name2> にする
<name2> = <name5> . dropna ( )	表 <name5> の中の NaN がある行を取り除いた結果を <name2> に代入する
<name2> = <name2> . dropna ( )	<name2> 内の NaN が存在する行をドロップして、 <name2> にする
<name2> = <name2> . dropna ( )	<name2> 内の NaN が存在する行をドロップして、置き換える
<name6> = <name6> . dropna ( )	<name6> 内の NaN が存在する行をドロップした結果を <name6> にする
<name2> = <name2> . dropna ( )	<name2> 内の NaN が存在する行をドロップした結果を再代入する
<name3> = <name3> . dropna ( )	ある行を <name3> 中の NaN が消して、 <name3> にする
<name4> = <name4> . dropna ( )	ある行を <name4> 中の NaN が消して、置き換える
<name2> = <name2> . dropna ( )	ある行を <name2> 中の NaN が消された結果を <name2> に代入する
<name2> = <name2> . dropna ( )	ある行を <name2> 中の NaN が消された結果を再代入する
<name2> = <name2> . dropna ( )	表 <name2> の中の欠損がある行を取り除き、 <name2> に代入する
<name2> = <name2> . dropna ( )	表 <name2> の中の欠損がある行を取り除き、置き換える
<name1> = <name1> . dropna ( )	表 <name1> の中の欠損がある行を取り除いた結果を <name1> にする
<name6> = <name6> . dropna ( )	表 <name6> の中の欠損がある行を取り除いた結果で置き換える
<name5> . dropna ( inplace = True )	<name5> 内の未記入の値がある行をドロップし、置き換える
<name5> . dropna ( inplace = True )	<name5> 内の未記入の値がある行をドロップした結果でインプレースする
<name1> . dropna ( inplace = True )	ある行を表 <name1> 中の未入力の値が消して、インプレースする
<name2> . dropna ( inplace = True )	ある行を表 <name2> 中の未入力の値が消した結果で置き換える
<name6> . dropna ( inplace = True )	存在する行を <name6> 表の中の欠損が取り除き、書き換える
<name6> . dropna ( inplace = True )	存在する行を <name6> 表の中の欠損が取り除いた結果でインプレースする
<name2> . dropna ( )	<name2> 内の欠損値を含む行をドロップする
<name2> . dropna ( )	<name2> 表の中の未入力の値を取り除く
<name1> . dropna ( )	表 <name1> 内の欠損値をドロップする
<name4> = <name6> . dropna ( )	<name6> 内の欠損値を含む行をドロップして、 <name4> とする
<name2> = <name3> . dropna ( )	<name3> 内の欠損値を含む行をドロップした結果を <name2> に代入する
<name3> = <name2> . dropna ( )	表 <name2> 内の欠損を削除し、 <name3> とする
<name2> = <name1> . dropna ( )	表 <name1> 内の欠損を削除された結果を <name2> とする
<name4> = <name1> . dropna ( )	<name1> 表中の NaN を消し、 <name4> に代入する
<name3> = <name1> . dropna ( )	<name1> 表中の NaN を消された結果を <name3> とする
<name3> = <name3> . dropna ( )	<name3> 内の欠損値を含む行をドロップして、 <name3> にする
<name1> = <name1> . dropna ( )	<name1> 内の欠損値を含む行をドロップして、置き換える
<name2> = <name2> . dropna ( )	<name2> 内の欠損値を含む行をドロップされた結果を <name2> に代入する
<name2> = <name2> . dropna ( )	<name2> 内の欠損値を含む行をドロップされた結果で置き換える
<name1> = <name1> . dropna ( )	表 <name1> 内の欠損を含む行を削除して、 <name1> に代入する
<name4> = <name4> . dropna ( )	表 <name4> 内の欠損を含む行を削除して、置き換える
<name3> = <name3> . dropna ( )	表 <name3> 内の欠損を含む行を削除した結果を <name3> に代入する
<name3> = <name3> . dropna ( )	表 <name3> 内の欠損を含む行を削除した結果を再代入する
<name1> = <name1> . dropna ( )	<name1> 中の未記入の値を含む行を落とし、 <name1> に代入する
<name4> = <name4> . dropna ( )	<name4> 中の未記入の値を含む行を落とし、再代入する
<name1> = <name1> . dropna ( )	<name1> 中の未記入の値を含む行を落とした結果を <name1> にする
<name1> = <name1> . dropna ( )	<name1> 中の未記入の値を含む行を落とした結果を再代入する
<name4> . dropna ( inplace = True )	<name4> 内の欠損値を含む行をドロップして、書き換える
<name3> . dropna ( inplace = True )	<name3> 内の欠損値を含む行をドロップされた結果で置き換える
<name1> . dropna ( inplace = True )	表 <name1> 内の欠損値を含む行をドロップし、インプレースする
<name3> . dropna ( inplace = True )	表 <name3> 内の欠損値を含む行をドロップされた結果でインプレースする
<name1> . dropna ( inplace = True )	<name1> 表の中の未記入の値を落として、書き換える
<name4> . dropna ( inplace = True )	<name4> 表の中の未記入の値を落とした結果で書き換える
<name2> . fillna ( <name1> )	<name2> 内の欠損値を <name1> に置き換える
<name1> . fillna ( <name3> )	表 <name1> 内の欠損値を <name3> で置き換える
<name5> . fillna ( <name6> )	<name5> 表内の欠損値を <name6> で置き換える
<name1> = <name4> . fillna ( <name6> )	<name4> 内の欠損値を <name6> に置き換えて、 <name1> とする
<name5> = <name4> . fillna ( <name1> )	<name4> 内の欠損値を <name1> に置き換えられた結果を <name5> にする
<name6> = <name5> . fillna ( <name3> )	<name5> 表の中の未記入の値を <name3> に置き換えて、 <name6> にする
<name3> = <name6> . fillna ( <name2> )	<name6> 表の中の未記入の値を <name2> に置き換えた結果を <name3> とする
<name6> = <name3> . fillna ( <name1> )	<name3> 表中の NaN を <name1> で置き換えて、 <name6> にする
<name3> = <name5> . fillna ( <name6> )	<name5> 表中の NaN を <name6> で置き換えた結果を <name3> とする
<name5> = <name5> . fillna ( <name2> )	<name5> 内の欠損値を <name2> に置き換え、 <name5> にする
<name1> = <name1> . fillna ( <name4> )	<name1> 内の欠損値を <name4> に置き換え、再代入する
<name6> = <name6> . fillna ( <name3> )	<name6> 内の欠損値を <name3> に置き換えた結果を <name6> とする
<name6> = <name6> . fillna ( <name4> )	<name6> 内の欠損値を <name4> に置き換えた結果を再代入する
<name5> = <name5> . fillna ( <name2> )	表 <name5> の中の未入力の値を <name2> に置き換え、 <name5> にする
<name3> = <name3> . fillna ( <name1> )	表 <name3> の中の未入力の値を <name1> に置き換え、再代入する
<name1> = <name1> . fillna ( <name2> )	表 <name1> の中の未入力の値を <name2> に置き換えた結果を <name1> に代入する
<name5> = <name5> . fillna ( <name4> )	表 <name5> の中の未入力の値を <name4> に置き換えた結果で置き換える
<name6> = <name6> . fillna ( <name1> )	<name6> 中の欠損を <name1> に置き換えて、 <name6> にする
<name2> = <name2> . fillna ( <name3> )	<name2> 中の欠損を <name3> に置き換えて、再代入する
<name1> = <name1> . fillna ( <name2> )	<name1> 中の欠損を <name2> に置き換えた結果を <name1> とする
<name6> = <name6> . fillna ( <name3> )	<name6> 中の欠損を <name3> に置き換えた結果を再代入する
<name3> . fillna ( <name5> , inplace = True )	<name3> 内の欠損値を <name5> に置換して、インプレースする
<name4> . fillna ( <name3> , inplace = True )	<name4> 内の欠損値を <name3> に置換された結果で置き換える
