print ( <val2> )	<val2> とプリントする
<name1> = <name1> . rename ( index = { <val5> : <val4> } )	<name1> の <val5> の名前を <val4> にリネームした結果を再代入する
<name6> = <name6> . rename ( index = { <val1> : <val4> } )	<val4> に表 <name6> のインデックス <val1> の名前をリネームして、 <name6> にする
<name2> = <name2> . rename ( index = { <val6> : <val1> } )	<val1> に表 <name2> のインデックス <val6> の名前をリネームして、置き換える
<name5> = <name5> . rename ( index = { <val4> : <val2> } )	<val2> に表 <name5> のインデックス <val4> の名前をリネームされた結果を <name5> に代入する
<name2> = <name2> . rename ( index = { <val5> : <val4> } )	<val4> に表 <name2> のインデックス <val5> の名前をリネームされた結果で置き換える
<name2> = <name2> . rename ( index = { <val3> : <val1> } )	<val1> に <name2> 表の <val3> インデックスの名前をリネームして、 <name2> とする
<name4> = <name4> . rename ( index = { <val5> : <val1> } )	<val1> に <name4> 表の <val5> インデックスの名前をリネームして、再代入する
<name4> = <name4> . rename ( index = { <val3> : <val6> } )	<val6> に <name4> 表の <val3> インデックスの名前をリネームした結果を <name4> に代入する
<name2> = <name2> . rename ( index = { <val5> : <val3> } )	<val3> に <name2> 表の <val5> インデックスの名前をリネームした結果を再代入する
<name6> . rename ( index = { <val3> : <val1> } , inplace = True )	<name6> の <val3> の名前を <val1> にリネームして、置き換える
<name6> . rename ( index = { <val1> : <val3> } , inplace = True )	<name6> の <val1> の名前を <val3> にリネームした結果で置き換える
<name2> . rename ( index = { <val3> : <val6> } , inplace = True )	<val6> に表 <name2> のインデックス <val3> の名前をリネームして、インプレースする
<name1> . rename ( index = { <val4> : <val6> } , inplace = True )	<val6> に表 <name1> のインデックス <val4> の名前をリネームした結果でインプレースする
<name2> . rename ( index = { <val1> : <val4> } , inplace = True )	表 <name2> のインデックス <val1> の名前を <val4> にリネームし、インプレースする
<name4> . rename ( index = { <val2> : <val6> } , inplace = True )	表 <name4> のインデックス <val2> の名前を <val6> にリネームされた結果で書き換える
<name1> . set_index ( <val4> )	<name1> の <val4> をインデックスに設定する
<name3> . set_index ( <val2> )	<name3> の <val2> をインデックスとして設定する
<name3> . set_index ( <val5> )	<name3> 表の <val5> 列をインデックスに設定する
<name2> = <name6> . set_index ( <val4> )	<name6> の <val4> をインデックスに設定し、 <name2> に代入する
<name2> = <name6> . set_index ( <val5> )	<name6> の <val5> をインデックスに設定した結果を <name2> とする
<name6> = <name5> . set_index ( <val4> )	表 <name5> の列 <val4> をインデックスとして指定して、 <name6> にする
<name5> = <name6> . set_index ( <val3> )	表 <name6> の列 <val3> をインデックスとして指定された結果を <name5> とする
<name5> = <name1> . set_index ( <val2> )	<name1> の <val2> をインデックスとして指定して、 <name5> とする
<name1> = <name5> . set_index ( <val3> )	<name5> の <val3> をインデックスとして指定された結果を <name1> とする
<name4> = <name4> . set_index ( <val3> )	<name4> の <val3> をインデックスに設定して、 <name4> とする
<name6> = <name6> . set_index ( <val4> )	<name6> の <val4> をインデックスに設定して、再代入する
<name3> = <name3> . set_index ( <val4> )	<name3> の <val4> をインデックスに設定された結果を <name3> とする
<name1> = <name1> . set_index ( <val3> )	<name1> の <val3> をインデックスに設定された結果を再代入する
<name2> = <name2> . set_index ( <val6> )	<name2> 表の <val6> 列をインデックスにして、 <name2> とする
<name6> = <name6> . set_index ( <val1> )	<name6> 表の <val1> 列をインデックスにして、置き換える
<name4> = <name4> . set_index ( <val6> )	<name4> 表の <val6> 列をインデックスにした結果を <name4> に代入する
<name1> = <name1> . set_index ( <val3> )	<name1> 表の <val3> 列をインデックスにした結果で置き換える
<name6> = <name6> . set_index ( <val2> )	<name6> の <val2> をインデックスとしてセットし、 <name6> とする
<name1> = <name1> . set_index ( <val3> )	<name1> の <val3> をインデックスとしてセットし、置き換える
<name1> = <name1> . set_index ( <val2> )	<name1> の <val2> をインデックスとしてセットされた結果を <name1> にする
<name2> = <name2> . set_index ( <val1> )	<name2> の <val1> をインデックスとしてセットされた結果で置き換える
<name2> . set_index ( <val3> , inplace = True )	<name2> の <val3> をインデックスに設定し、置き換える
<name3> . set_index ( <val4> , inplace = True )	<name3> の <val4> をインデックスに設定した結果でインプレースする
<name6> . set_index ( <val5> , inplace = True )	<name6> 表の <val5> 列をインデックスに指定し、置き換える
<name3> . set_index ( <val5> , inplace = True )	<name3> 表の <val5> 列をインデックスに指定した結果で書き換える
<name6> . set_index ( <val1> , inplace = True )	表 <name6> の列 <val1> をインデックスに指定し、書き換える
<name5> . set_index ( <val2> , inplace = True )	表 <name5> の列 <val2> をインデックスに指定された結果でインプレースする
<name4> . reset_index ( )	<name4> のインデックスをリセットする
<name5> . reset_index ( )	<name5> 表のインデックスをリセットする
<name5> . reset_index ( )	<name5> のインデックスを振り直す
<name4> = <name6> . reset_index ( )	<name6> のインデックスをリセットして、 <name4> に代入する
<name6> = <name3> . reset_index ( )	<name3> のインデックスをリセットされた結果を <name6> とする
<name1> = <name3> . reset_index ( )	<name3> のインデックスを振り直して、 <name1> にする
<name4> = <name1> . reset_index ( )	<name1> のインデックスを振り直した結果を <name4> に代入する
<name3> = <name2> . reset_index ( )	表 <name2> のインデックスを振り直して、 <name3> にする
<name3> = <name5> . reset_index ( )	表 <name5> のインデックスを振り直した結果を <name3> に代入する
<name2> = <name2> . reset_index ( )	<name2> のインデックスをリセットし、 <name2> とする
<name3> = <name3> . reset_index ( )	<name3> のインデックスをリセットし、再代入する
<name1> = <name1> . reset_index ( )	<name1> のインデックスをリセットされた結果を <name1> とする
<name5> = <name5> . reset_index ( )	<name5> のインデックスをリセットされた結果で置き換える
<name2> = <name2> . reset_index ( )	<name2> 表のインデックスをリセットして、 <name2> にする
<name2> = <name2> . reset_index ( )	<name2> 表のインデックスをリセットして、置き換える
<name1> = <name1> . reset_index ( )	<name1> 表のインデックスをリセットした結果を <name1> にする
<name5> = <name5> . reset_index ( )	<name5> 表のインデックスをリセットした結果を再代入する
<name2> = <name2> . reset_index ( )	表 <name2> のインデックスをリセットして、 <name2> にする
<name5> = <name5> . reset_index ( )	表 <name5> のインデックスをリセットして、再代入する
<name4> = <name4> . reset_index ( )	表 <name4> のインデックスをリセットされた結果を <name4> にする
<name2> = <name2> . reset_index ( )	表 <name2> のインデックスをリセットされた結果を再代入する
<name3> . reset_index ( inplace = True )	<name3> のインデックスをリセットして、インプレースする
<name3> . reset_index ( inplace = True )	<name3> のインデックスをリセットした結果でインプレースする
<name2> . reset_index ( inplace = True )	<name2> 表のインデックスを振り直して、インプレースする
<name3> . reset_index ( inplace = True )	<name3> 表のインデックスを振り直した結果で置き換える
<name4> . reset_index ( inplace = True )	<name4> 表のインデックスをリセットして、インプレースする
<name5> . reset_index ( inplace = True )	<name5> 表のインデックスをリセットした結果で置き換える
<name2> . reset_index ( drop = True )	<name2> の元のインデックスをリセットする
<name5> . reset_index ( drop = True )	表 <name5> の元のインデックスをリセットする
<name5> . reset_index ( drop = True )	<name5> 表の元のインデックスをリセットする
<name6> = <name3> . reset_index ( drop = True )	<name3> の元のインデックスをリセットし、 <name6> に代入する
<name1> = <name6> . reset_index ( drop = True )	<name6> の元のインデックスをリセットした結果を <name1> とする
<name5> = <name2> . reset_index ( drop = True )	表 <name2> の元のインデックスをリセットし、 <name5> にする
<name3> = <name5> . reset_index ( drop = True )	表 <name5> の元のインデックスをリセットした結果を <name3> に代入する
<name1> = <name4> . reset_index ( drop = True )	<name4> 表の元のインデックスをリセットし、 <name1> にする
<name5> = <name1> . reset_index ( drop = True )	<name1> 表の元のインデックスをリセットした結果を <name5> にする
<name3> = <name3> . reset_index ( drop = True )	<name3> の元のインデックスをリセットし、 <name3> とする
<name6> = <name6> . reset_index ( drop = True )	<name6> の元のインデックスをリセットし、再代入する
<name1> = <name1> . reset_index ( drop = True )	<name1> の元のインデックスをリセットした結果を <name1> とする
<name2> = <name2> . reset_index ( drop = True )	<name2> の元のインデックスをリセットした結果で置き換える
<name5> = <name5> . reset_index ( drop = True )	<name5> 表の元のインデックスをリセットして、 <name5> とする
<name3> = <name3> . reset_index ( drop = True )	<name3> 表の元のインデックスをリセットして、再代入する
<name6> = <name6> . reset_index ( drop = True )	<name6> 表の元のインデックスをリセットされた結果を <name6> とする
<name1> = <name1> . reset_index ( drop = True )	<name1> 表の元のインデックスをリセットされた結果を再代入する
<name5> = <name5> . reset_index ( drop = True )	表 <name5> の元のインデックスをリセットして、 <name5> とする
<name6> = <name6> . reset_index ( drop = True )	表 <name6> の元のインデックスをリセットして、再代入する
<name3> = <name3> . reset_index ( drop = True )	表 <name3> の元のインデックスをリセットした結果を <name3> にする
<name2> = <name2> . reset_index ( drop = True )	表 <name2> の元のインデックスをリセットした結果で置き換える
<name6> . reset_index ( drop = True , inplace = True )	<name6> の元のインデックスをリセットして、インプレースする
<name3> . reset_index ( drop = True , inplace = True )	<name3> の元のインデックスをリセットした結果で置き換える
<name2> . reset_index ( drop = True , inplace = True )	<name2> 表の元のインデックスをリセットし、インプレースする
<name2> . reset_index ( drop = True , inplace = True )	<name2> 表の元のインデックスをリセットされた結果でインプレースする
<name3> . reset_index ( drop = True , inplace = True )	表 <name3> の元のインデックスをリセットし、置き換える
<name6> . reset_index ( drop = True , inplace = True )	表 <name6> の元のインデックスをリセットされた結果で置き換える
<name1> . reset_index ( drop = True )	<name1> のインデックスをリセット指定して、元のインデックスを削除する
<name1> . reset_index ( drop = True )	<name1> 表のインデックスをリセットして、元のインデックスを削除する
<name1> . reset_index ( drop = True )	表 <name1> のインデックスを振り直して、元のインデックスを削除する
<name4> = <name2> . reset_index ( drop = True )	<name2> のインデックスをリセットセットして、元のインデックスを削除し、 <name4> にする
<name5> = <name4> . reset_index ( drop = True )	<name4> のインデックスをリセットセットして、元のインデックスを削除した結果を <name5> にする
<name4> = <name5> . reset_index ( drop = True )	振り直して、元のインデックスを <name5> のインデックスを削除して、 <name4> とする
<name4> = <name1> . reset_index ( drop = True )	振り直して、元のインデックスを <name1> のインデックスを削除された結果を <name4> とする
<name2> = <name1> . reset_index ( drop = True )	<name1> 表のインデックスをリセットして、元のインデックスを削除して、 <name2> にする
<name3> = <name6> . reset_index ( drop = True )	<name6> 表のインデックスをリセットして、元のインデックスを削除した結果を <name3> とする
<name5> = <name5> . reset_index ( drop = True )	<name5> のインデックスをリセットセットして、元のインデックスを削除し、 <name5> に代入する
<name6> = <name6> . reset_index ( drop = True )	<name6> のインデックスをリセットセットして、元のインデックスを削除し、再代入する
<name2> = <name2> . reset_index ( drop = True )	<name2> のインデックスをリセットセットして、元のインデックスを削除された結果を <name2> とする
<name5> = <name5> . reset_index ( drop = True )	<name5> のインデックスをリセットセットして、元のインデックスを削除された結果で置き換える
<name6> = <name6> . reset_index ( drop = True )	<name6> のインデックスを振り直して、元のインデックスを削除し、 <name6> に代入する
<name5> = <name5> . reset_index ( drop = True )	<name5> のインデックスを振り直して、元のインデックスを削除し、置き換える
<name5> = <name5> . reset_index ( drop = True )	<name5> のインデックスを振り直して、元のインデックスを削除した結果を <name5> に代入する
<name6> = <name6> . reset_index ( drop = True )	<name6> のインデックスを振り直して、元のインデックスを削除した結果を再代入する
<name4> = <name4> . reset_index ( drop = True )	振り直して、元のインデックスを <name4> のインデックスを削除し、 <name4> とする
<name6> = <name6> . reset_index ( drop = True )	振り直して、元のインデックスを <name6> のインデックスを削除し、置き換える
<name6> = <name6> . reset_index ( drop = True )	振り直して、元のインデックスを <name6> のインデックスを削除した結果を <name6> に代入する
<name3> = <name3> . reset_index ( drop = True )	振り直して、元のインデックスを <name3> のインデックスを削除した結果を再代入する
<name3> . reset_index ( drop = True , inplace = True )	<name3> のインデックスをリセット設定して、元のインデックスを削除し、置き換える
<name3> . reset_index ( drop = True , inplace = True )	<name3> のインデックスをリセット設定して、元のインデックスを削除した結果でインプレースする
<name2> . reset_index ( drop = True , inplace = True )	振り直して、元のインデックスを <name2> 表のインデックスを削除し、置き換える
<name2> . reset_index ( drop = True , inplace = True )	振り直して、元のインデックスを <name2> 表のインデックスを削除した結果でインプレースする
<name6> . reset_index ( drop = True , inplace = True )	振り直して、元のインデックスを <name6> のインデックスを削除して、書き換える
<name2> . reset_index ( drop = True , inplace = True )	振り直して、元のインデックスを <name2> のインデックスを削除した結果で置き換える
pd . to_datetime ( <name4> [ <val5> ] )	<name4> の <val5> を年月日のに変換する
pd . to_datetime ( <name6> [ <val3> ] )	表 <name6> のカラム <val3> を年月日のに変換する
pd . to_datetime ( <name3> [ <val2> ] )	日付型に表 <name3> のカラム <val2> を変換する
pd . to_datetime ( <name5> [ <val4> ] , format = '%Y-%m-%d' )	フォーマットを指定して <name5> の <val4> を datetime 型に変換する
pd . to_datetime ( <name4> [ <val2> ] , format = '%Y-%m-%d' )	datetime 型に指定して表 <name4> のカラム <val2> をフォーマットをする
pd . to_datetime ( <name6> [ <val4> ] , format = '%Y-%m-%d' )	指定して表 <name6> のカラム <val4> をフォーマットを datetime 型にする
<name3> [ <val1> ] . dt . year	<name3> の <val1> の年
<name2> [ <val6> ] . dt . year	表 <name2> のカラム <val6> の年
<name2> [ <val3> ] . dt . year	<name2> 表の <val3> カラムの年
<name1> [ <val3> ] . dt . year	<name1> の <val3> の年を調べる
<name4> [ <val6> ] . dt . year	表 <name4> のカラム <val6> の年を見る
<name4> [ <val2> ] . dt . year	<name4> 表の <val2> カラムの年を表示する
<name3> = <name6> [ <val4> ] . dt . year	<name6> の <val4> の年を <name3> にする
<name3> = <name6> [ <val1> ] . dt . year	<name6> 表の <val1> カラムの年を <name3> にする
<name2> = <name4> [ <val6> ] . dt . year	表 <name4> のカラム <val6> の年を <name2> とする
<name3> [ <val2> ] . dt . month	<name3> の <val2> の月
<name1> [ <val6> ] . dt . month	表 <name1> のカラム <val6> の月
<name1> [ <val4> ] . dt . month	<name1> 表の <val4> カラムの月
<name4> [ <val1> ] . dt . month	<name4> の <val1> の月を確認する
<name6> [ <val5> ] . dt . month	表 <name6> のカラム <val5> の月を見る
<name5> [ <val4> ] . dt . month	<name5> 表の <val4> カラムの月を確認する
<name5> = <name3> [ <val6> ] . dt . month	<name3> の <val6> の月を <name5> にする
<name4> = <name1> [ <val2> ] . dt . month	<name1> 表の <val2> カラムの月を <name4> とする
<name2> = <name4> [ <val1> ] . dt . month	表 <name4> のカラム <val1> の月を <name2> に代入する
<name6> [ <val3> ] . dt . day	<name6> の <val3> の日にち
<name5> [ <val3> ] . dt . day	表 <name5> のカラム <val3> の日にち
<name3> [ <val6> ] . dt . day	<name3> 表の <val6> カラムの日にち
<name2> [ <val1> ] . dt . day	<name2> の <val1> の日にちを調べる
<name2> [ <val6> ] . dt . day	表 <name2> のカラム <val6> の日にちを表示する
<name6> [ <val5> ] . dt . day	<name6> 表の <val5> カラムの日にちを見る
<name1> = <name5> [ <val4> ] . dt . day	<name5> の <val4> の日にちを <name1> とする
<name4> = <name5> [ <val3> ] . dt . day	表 <name5> のカラム <val3> の日にちを <name4> とする
<name4> = <name1> [ <val2> ] . dt . day	<name1> 表の <val2> カラムの日にちを <name4> にする
<name2> [ <val3> ] . dt . hour	<name2> の <val3> の時間
<name3> [ <val2> ] . dt . hour	表 <name3> のカラム <val2> の時間
<name2> [ <val6> ] . dt . hour	<name2> 表の <val6> カラムの時間
<name5> [ <val1> ] . dt . hour	<name5> の <val1> の時間を確認する
<name5> [ <val1> ] . dt . hour	<name5> 表の <val1> カラムの時間を調べる
<name3> [ <val2> ] . dt . hour	表 <name3> のカラム <val2> の時間を見る
<name5> = <name3> [ <val4> ] . dt . hour	<name3> の <val4> の時間を <name5> とする
<name1> = <name2> [ <val3> ] . dt . hour	<name2> 表の <val3> カラムの時間を <name1> とする
<name4> = <name2> [ <val5> ] . dt . hour	表 <name2> のカラム <val5> の時間を <name4> にする
<name5> [ <val4> ] . dt . minute	<name5> の <val4> の分
<name2> [ <val6> ] . dt . minute	表 <name2> のカラム <val6> の分
<name4> [ <val1> ] . dt . minute	<name4> 表の <val1> カラムの分
<name3> [ <val4> ] . dt . minute	<name3> の <val4> の分を表示する
<name6> [ <val1> ] . dt . minute	表 <name6> のカラム <val1> の分を表示する
<name1> = <name4> [ <val5> ] . dt . minute	<name4> の <val5> の分を <name1> とする
<name1> = <name6> [ <val3> ] . dt . minute	表 <name6> のカラム <val3> の分を <name1> に代入する
<name4> = <name2> [ <val5> ] . dt . minute	<name2> 表の <val5> カラムの分を <name4> とする
<name5> [ <val2> ] . dt . second	<name5> の <val2> の秒
<name3> [ <val6> ] . dt . second	表 <name3> のカラム <val6> の秒
<name1> [ <val3> ] . dt . second	<name1> 表の <val3> カラムの秒
<name2> [ <val5> ] . dt . second	<name2> の <val5> の秒を確認する
<name2> [ <val1> ] . dt . second	<name2> 表の <val1> カラムの秒を調べる
<name5> [ <val4> ] . dt . second	表 <name5> のカラム <val4> の秒を調べる
<name3> = <name6> [ <val2> ] . dt . second	<name6> の <val2> の秒を <name3> にする
<name4> = <name2> [ <val1> ] . dt . second	表 <name2> のカラム <val1> の秒を <name4> にする
<name3> = <name1> [ <val5> ] . dt . second	<name1> 表の <val5> カラムの秒を <name3> にする
<name6> [ <val2> ] . dt . weekday_name	<name6> の <val2> の曜日
<name4> [ <val2> ] . dt . weekday_name	<name4> 表の <val2> カラムの曜日
<name1> [ <val6> ] . dt . weekday_name	表 <name1> のカラム <val6> の曜日
<name6> [ <val5> ] . dt . weekday_name	<name6> の <val5> の曜日を見る
<name6> [ <val3> ] . dt . weekday_name	<name6> 表の <val3> カラムの曜日を見る
<name4> [ <val2> ] . dt . weekday_name	表 <name4> のカラム <val2> の曜日を確認する
<name4> = <name2> [ <val3> ] . dt . weekday_name	<name2> の <val3> の曜日を <name4> にする
<name4> = <name6> [ <val5> ] . dt . weekday_name	<name6> 表の <val5> カラムの曜日を <name4> にする
<name3> = <name6> [ <val2> ] . dt . weekday_name	表 <name6> のカラム <val2> の曜日を <name3> にする
<name5> [ <val3> ] . dt . dayofweek	<name5> の <val3> の曜日の数値型
<name6> [ <val5> ] . dt . dayofweek	<name6> 表の <val5> カラムの曜日の数値型
<name1> [ <val6> ] . dt . dayofweek	表 <name1> のカラム <val6> の曜日の数値型
<name3> [ <val6> ] . dt . dayofweek	<name3> の <val6> の曜日の数値型を調べる
<name3> [ <val1> ] . dt . dayofweek	表 <name3> のカラム <val1> の曜日の数値型を表示する
<name5> [ <val3> ] . dt . dayofweek	<name5> 表の <val3> カラムの曜日の数値型を確認する
<name6> = <name3> [ <val1> ] . dt . dayofweek	<name3> の <val1> の曜日の数値型を <name6> に代入する
<name4> = <name1> [ <val6> ] . dt . dayofweek	<name1> 表の <val6> カラムの曜日の数値型を <name4> にする
<name4> = <name5> [ <val2> ] . dt . dayofweek	表 <name5> のカラム <val2> の曜日の数値型を <name4> にする
<name6> [ <val2> ] . diff ( periods = 1 )	<name6> の <val2> 内の前後の行の差分
<name3> [ <val6> ] . diff ( periods = 1 )	表 <name3> の列 <val6> の中の前後の行の差分
<name6> [ <val5> ] . diff ( periods = 1 )	<name6> 表の <val5> 列内の前後の行の差分
<name6> = <name5> [ <val4> ] . diff ( periods = 1 )	<name5> の <val4> 内の前後の行の差分を <name6> とする
<name6> = <name2> [ <val5> ] . diff ( periods = 1 )	<name2> 表の <val5> 列の中の前後の行の差分を <name6> にする
<name6> = <name4> [ <val1> ] . diff ( periods = 1 )	表 <name4> の列 <val1> 中の前後の行の差分を <name6> に代入する
<name3> [ <val6> ] . diff ( periods = 1 )	<name3> の <val6> 内の前後の行の差分を求める
<name6> [ <val3> ] . diff ( periods = 1 )	<name6> の <val3> 中の前後の行の差分を求める
<name6> [ <val5> ] . diff ( periods = 1 )	表 <name6> の列 <val5> の中の前後の行の差分を算出する
<name2> . corr ( )	<name2> の相関
<name6> . corr ( )	表 <name6> の相関
<name3> . corr ( )	<name3> 表の相関
<name2> . corr ( )	<name2> の相関係数を見る
<name4> . corr ( )	表 <name4> の相関を見る
<name4> . corr ( )	<name4> の相関を表示する
<name3> [ [ <val6> , <val1> ] ] . corr ( )	<name3> の <val6> と <val1> の相関係数
<name4> [ [ <val2> , <val1> ] ] . corr ( )	<name4> 表の <val2> カラムと <val1> 列の相関係数
<name4> [ [ <val1> , <val6> ] ] . corr ( )	表 <name4> のカラム <val1> と列 <val6> の相関
<name3> [ [ <val4> , <val1> ] ] . corr ( )	<name3> の <val4> と <val1> の相関係数を見る
<name6> [ [ <val5> , <val3> ] ] . corr ( )	<name6> の <val5> と <val3> の相関を見る
<name2> [ [ <val1> , <val3> ] ] . corr ( )	表 <name2> のカラム <val1> と列 <val3> の相関を調べる
<name3> . T	<name3> の行と列を入れ替える
<name2> . T	<name2> 表の行列を入れ替える
<name3> . T	表 <name3> の行列を入れ替える
<name2> . T	<name2> を転置する
<name3> . T	表 <name3> を転置する
<name6> . T	<name6> 表を転置する
<name4> [ <name4> [ <val3> ] == <val5> ]	<name4> の <val3> が <val5> のデータ
<name1> [ <name1> [ <val3> ] == <val6> ]	<name1> 表の <val3> 列が <val6> のデータ
<name5> [ <name5> [ <val2> ] == <val1> ]	表 <name5> の列 <val2> が <val1> のデータ
<name4> [ <name4> [ <val6> ] == <val1> ]	<name4> の <val6> が <val1> のデータをえる
<name5> [ <name5> [ <val6> ] == <val2> ]	表 <name5> の列 <val6> が <val2> のデータを得る
<name5> [ <name5> [ <val4> ] == <val3> ]	<name5> 表の <val4> 列が <val3> のデータを取得する
<name4> [ <name4> [ <val2> ] >  <val6> ]	<name4> の <val2> が <val6> より大きいデータ
<name6> [ <name6> [ <val5> ] >  <val3> ]	<val3> より <name6> の <val5> が多いデータ
<name3> [ <name3> [ <val2> ] >  <val6> ]	<name3> 表の <val2> が <val6> より大きいデータ
<name2> [ <name2> [ <val5> ] >  <val3> ]	<name2> の <val5> が <val3> より大きいデータを抽出する
<name5> [ <name5> [ <val3> ] >  <val1> ]	表 <name5> の <val3> が <val1> より大きいデータを取得する
<name4> [ <name4> [ <val2> ] >  <val1> ]	<val1> より <name4> の <val2> が大きいデータを抽出する
<name4> [ <name4> [ <val5> ] >= <val6> ]	<name4> の <val5> が <val6> 以上のデータ
<name4> [ <name4> [ <val1> ] >= <val3> ]	<name4> 表の <val1> が <val3> 以上のデータ
<name6> [ <name6> [ <val3> ] >= <val5> ]	表 <name6> の <val3> が <val5> 以上のデータ
<name6> [ <name6> [ <val5> ] >= <val2> ]	<name6> の <val5> が <val2> 以上のデータを得る
<name3> [ <name3> [ <val1> ] >= <val6> ]	表 <name3> の <val1> が <val6> 以上のデータをえる
<name6> [ <name6> [ <val1> ] >= <val4> ]	<name6> 表の <val1> が <val4> 以上のデータをえる
<name2> [ <name2> [ <val3> ] <  <val5> ]	<name2> の <val3> が <val5> より小さいデータ
<name6> [ <name6> [ <val5> ] <  <val4> ]	<val4> より <name6> の <val5> が少ないデータ
<name5> [ <name5> [ <val1> ] <  <val4> ]	表 <name5> の <val1> が <val4> より少ないデータ
<name5> [ <name5> [ <val6> ] <  <val4> ]	<name5> の <val6> が <val4> より小さいデータを得る
<name6> [ <name6> [ <val3> ] <  <val2> ]	<name6> 表の <val3> が <val2> より少ないデータを抽出する
<name4> [ <name4> [ <val2> ] <  <val3> ]	表 <name4> の <val2> が <val3> より少ないデータをえる
<name4> [ <name4> [ <val5> ] <= <val3> ]	<name4> の <val5> が <val3> 以下のデータ
<name1> [ <name1> [ <val4> ] <= <val6> ]	表 <name1> の <val4> が <val6> 以下のデータ
<name4> [ <name4> [ <val6> ] <= <val1> ]	<name4> 表の <val6> が <val1> 以下のデータ
<name3> [ <name3> [ <val5> ] <= <val6> ]	<name3> の <val5> が <val6> 以下のデータを得る
<name4> [ <name4> [ <val5> ] <= <val2> ]	<name4> 表の <val5> が <val2> 以下のデータを抽出する
<name3> [ <name3> [ <val4> ] <= <val5> ]	表 <name3> の <val4> が <val5> 以下のデータを取得する
<name5> [ <name5> [ <val1> ] . isin ( [ <val3> , <val4> ] ) ]	<name5> の <val1> が <val3> もしくは <val4> のデータ
<name1> [ <name1> [ <val3> ] . isin ( [ <val4> , <val5> ] ) ]	表 <name1> の列 <val3> が <val4> または <val5> のデータ
<name6> [ <name6> [ <val1> ] . isin ( [ <val3> , <val5> ] ) ]	<name6> 表の <val1> 列が <val3> または <val5> のデータ
<name5> [ <name5> [ <val3> ] . isin ( [ <val4> , <val6> ] ) ]	<name5> の <val3> が <val4> もしくは <val6> のデータを取得する
<name2> [ <name2> [ <val6> ] . isin ( [ <val3> , <val4> ] ) ]	<name2> の <val6> が <val3> または <val4> のデータをえる
<name6> [ <name6> [ <val3> ] . isin ( [ <val1> , <val5> ] ) ]	<name6> の <val3> が <val1> か <val5> のデータをえる
<name1> . drop ( <val4> )	<name1> の <val4> 行目を落とす
<name4> . drop ( <val2> )	表 <name4> の <val2> 行目を削除する
<name1> . drop ( <val5> )	表 <name1> の <val5> 行目を落とす
<name2> = <name5> . drop ( <val4> )	<name5> の <val4> 行目を削除して、 <name2> に代入する
<name4> = <name1> . drop ( <val3> )	<name1> の <val3> 行目を削除された結果を <name4> にする
<name2> = <name4> . drop ( <val6> )	<name4> の <val6> 行目を取り除き、 <name2> とする
<name1> = <name2> . drop ( <val4> )	<name2> の <val4> 行目を取り除いた結果を <name1> とする
<name3> = <name6> . drop ( <val1> )	<name6> 表の <val1> 行目を取り除き、 <name3> に代入する
<name2> = <name1> . drop ( <val4> )	<name1> 表の <val4> 行目を取り除いた結果を <name2> に代入する
<name5> = <name5> . drop ( <val4> )	<name5> の <val4> 行目をドロップして、 <name5> にする
<name3> = <name3> . drop ( <val6> )	<name3> の <val6> 行目をドロップして、再代入する
<name1> = <name1> . drop ( <val2> )	<name1> の <val2> 行目をドロップした結果を <name1> とする
<name1> = <name1> . drop ( <val6> )	<name1> の <val6> 行目をドロップした結果を再代入する
<name4> = <name4> . drop ( <val5> )	表 <name4> の <val5> 行目を落とし、 <name4> にする
<name6> = <name6> . drop ( <val4> )	表 <name6> の <val4> 行目を落とし、再代入する
<name1> = <name1> . drop ( <val5> )	表 <name1> の <val5> 行目を落とした結果を <name1> とする
<name3> = <name3> . drop ( <val2> )	表 <name3> の <val2> 行目を落とした結果で置き換える
<name3> = <name3> . drop ( <val1> )	<name3> 表の <val1> 行目を落として、 <name3> に代入する
<name3> = <name3> . drop ( <val6> )	<name3> 表の <val6> 行目を落として、再代入する
<name3> = <name3> . drop ( <val1> )	<name3> 表の <val1> 行目を落とした結果を <name3> に代入する
<name3> = <name3> . drop ( <val4> )	<name3> 表の <val4> 行目を落とした結果を再代入する
<name4> . drop ( <val5> , inplace = True )	<name4> の <val5> 行目をドロップして、置き換える
<name5> . drop ( <val3> , inplace = True )	<name5> の <val3> 行目をドロップした結果で置き換える
<name4> . drop ( <val6> , inplace = True )	<name4> 表の <val6> 行目を取り除いて、インプレースする
<name5> . drop ( <val2> , inplace = True )	<name5> 表の <val2> 行目を取り除いた結果で書き換える
<name6> . drop ( <val1> , inplace = True )	<name6> の <val1> 行目を削除して、書き換える
<name2> . drop ( <val1> , inplace = True )	<name2> の <val1> 行目を削除された結果で書き換える
<name2> . drop ( <val5> , axis = 1 )	<name2> の <val5> をドロップする
<name1> . drop ( <val2> , axis = 1 )	<name1> 表の <val2> 列をドロップする
<name3> . drop ( <val6> , axis = 1 )	<name3> 表の <val6> 列を取り除く
<name6> = <name4> . drop ( <val1> , axis = 1 )	<name4> の <val1> をドロップし、 <name6> にする
<name5> = <name1> . drop ( <val4> , axis = 1 )	<name1> の <val4> をドロップした結果を <name5> とする
<name5> = <name2> . drop ( <val6> , axis = 1 )	<name2> の <val6> を削除し、 <name5> にする
<name6> = <name4> . drop ( <val1> , axis = 1 )	<name4> の <val1> を削除した結果を <name6> に代入する
